,descriptions_edition,urls
52,"Format: 17x24cm
Pages: 108
Edition: دار الصميعي
",https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/soulwatu-at-toullab-la-consolation-de-l-etudiant-dr-ali-al-imran.html#/168-edition-edition_haute_qualité
53,Non disponible,https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/ta-lim-al-mouta-allim-tariq-at-ta-alloum-par-az-zarnouji.html
54,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/al-iman-bi-al-qada-wa-al-qadar-muhammad-ibrahim-al-hamad.html
55,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/al-wajiz-fi-al-iman-inda-ahl-as-sounnah-préface-ibn-aqil-ar-rajihi.html
56,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/arwah-al-achbah-fi-kalam-ala-al-arwah-allamah-mar-i-al-karmi.html
57,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/conférence-sur-les-fondements-de-la-foi-ibn-baz.html
58,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/explication-d-un-hadith-complet-dans-la-aqidah-abderrazaq-al-badr.html
59,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/les-nobles-angles-entre-les-gens-de-la-sounnah-et-les-égarés.html
60,Non disponible,https://www.sifatusafwa.com/fr/al-iman-ses-piliers-et-ses-branches/oussoul-al-iman-fi-daw-al-kitab-wa-as-sounnah.html
61,Non disponible,https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/al-bahjatu-al-mardiyyah-charh-ad-durah-al-madiyyah-ali-muhammad-al-dabba-.html
62,"Édition en 2 volumes, avec une mise en page plus aérée.
Volume: 2
Pages: Edition in 2 volumes, with a more streamlined layout.
Volume: 2
Pages: 1006
",https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/al-budur-az-zahirah-fi-al-qira-at-al-ashr-al-mutawatirah-.html#/31-edition-2_volumes
63,Non disponible,https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/al-ijaz-fi-qiraaat-al-aimmah-as-sabah-by-imam-sabt-al-khayyat.html
64,Non disponible,https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/al-ma-oun-charh-nadhm-al-qaloun-différence-entre-hafs-et-qaloun.html
65,"Magnifique édition en 5 larges volumes. Vérifiée par le Cheikh Ayman Rouchdi Souwaid, célèbre spécialiste des Qiraat, possédant une grande expertise dans le domaine. 
La qualité de Tahqiq et d’édition est exemplaire, le texte possède les harakats en majorité, et de nombreuses annotations bénéfiques. Avec une longue introduction autour de l’œuvre et la méthodologie de Ibn al-Jazari. Dans le dernier volume on retrouve des sommaires de recherche utiles à l’étudiant.
Tahqiq: د. أيمن رشدي سويد
Pages: 3200
Edition: دار الغوثاني
",https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/an-nachr-fi-al-qira-at-al-achr-al-imam-ibn-al-jazari.html#/143-edition-syrienne_qualité_saoudienne
66,"Magnifique édition en 5 larges volumes. Vérifiée par le Cheikh Ayman Rouchdi Souwaid, célèbre spécialiste des Qiraat, possédant une grande expertise dans le domaine. 
La qualité de Tahqiq et d’édition est exemplaire, le texte possède les harakats en majorité, et de nombreuses annotations bénéfiques. Avec une longue introduction autour de l’œuvre et la méthodologie de Ibn al-Jazari. Dans le dernier volume on retrouve des sommaires de recherche utiles à l’étudiant.
Tahqiq: د. أيمن رشدي سويد
Pages: 3200
Edition: دار الغوثاني
",https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/an-nachr-fi-al-qira-at-al-achr-al-imam-ibn-al-jazari.html#/23-edition-libanaise_qualité_saoudienne
67,"Couverture cuir et dorures.
",https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/as-salasil-adh-dhahabiyyah-bil-asanid-an-nachriyyah-ayman-souwayd.html#/33-edition-édition_1
68,"Couverture cuir et dorures.
",https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/as-salasil-adh-dhahabiyyah-bil-asanid-an-nachriyyah-ayman-souwayd.html#/34-edition-édition_2
69,Non disponible,https://www.sifatusafwa.com/fr/al-qira-at-lectures-coraniques/charh-as-sirr-al-massoun-fi-riwayah-qaloun-abdul-fattah-al-qadi.html
