,Title,Author,Pages,Edition,Cover,Format,Harakat,Checking and preparation,Preface,Volumes,Annotations,lien
48,تحقيق مواقف الصحابة في الفتنة من روايات الإمام الطبري والمحدثين,محمد أمحزون,694,دار السلام,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أقوال-السلف/tahqeeq-mawaaqif-as-sahaabah-fi-al-fitnah.html
49,منهج السلف في العناية بالقرآن الكريم,بدر بن ناصر البدر,220,دار الحضارة,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/أقوال-السلف/the-methodology-of-the-salaf-in-caring-for-the-noble-quran.html
50,عيون الأخبار,الإمام ابن قتيبة,1793,المكتب الإسلامي,مجلد,20x28cm,In Part,منذر أبو شعر,,4,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/-uyoon-al-akhbaar-by-imam-ibn-qutaybah-4-larges-volumes.html
51,كتاب 40 مجلساً في صحبة الحبيب ﷺ – سيرته – أخلاقه – شمائله,د.عادل بن علي الشدي,174,مدار الوطن,غلاف,12x17cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/40-majalis-fi-suhbah-al-habib-ﷺ-sirah-akhlaq-shamail.html
52,مواعظ الإمام عبد الله المبارك,الشيخ صالح الشامي,80,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-abdullah-ibn-al-mubarak-181h.html
53,مواعظ الإمام أبي سليمان الداراني,الشيخ صالح الشامي,95,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-abi-sulayman-ad-darani-205h.html
54,مواعظ الإمام الحارث المحاسبي,الشيخ صالح الشامي,199,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-al-harith-al-muhasibi-243h.html
55,مواعظ الإمام أحمد بن حنبل,الشيخ صالح الشامي,104,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-imam-ahmad-ibn-hanbal-241h.html
56,مواعظ الإمام الأوزاعي,الشيخ صالح الشامي,87,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-imam-al-awza-i-157h.html
57,مواعظ الإمام الجنيد,الشيخ صالح الشامي,80,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-imam-al-junayd-297h.html
58,مواعظ الإمام زين العابدين,الشيخ صالح الشامي,72,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-imam-zayn-al-abidin-94h.html
59,مواعظ الإمام سفيان الثوري,الشيخ صالح الشامي,151,المكتب الإسلامي,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/advice-and-admonitions-of-sufyan-ath-thawri-161h.html
60,الأذكار والآداب - المستوى التمهيدي,عبد المحسن بن محمد القاسم,248,دار العالمية,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/al-adhkar-wa-al-adab-mustawa-tamhidi-mutun-talib-al-ilm.html
61,الفقه في الدين عصمة من الفتن,الشيخ صالح الفوزان,128,دار الأثار,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/al-fiqh-fi-ad-deen-shaykh-saalih-al-fawzaan.html
62,التعليم في المدينة المنورة في عهد النبي صلى الله عليه وسلم,أ.د. سند بن لافي الشاماني,431,دار الصميعي,مجلد,17x24cm,,,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/at-tal-im-fi-al-madinah-al-munawarah-fi-ahd-an-nabi.html
63,بستان الواعظين ورياض السامعين,الإمام أبو الفرج ابن الجوزي,,,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/bustaan-al-waa-idheen-wa-riyaad-as-saami-een-ibn-al-jawzi.html#/21-edition-egyptian
64,بستان الواعظين ورياض السامعين,الإمام أبو الفرج ابن الجوزي,,,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/bustaan-al-waa-idheen-wa-riyaad-as-saami-een-ibn-al-jawzi.html#/23-edition-lebanese_saudi_quality
65,الدرر البهية في الخطب المنبرية,الشيخ عبد الرزاق بن عبد المحسن البدر,698,دار المداد,مجلد,17x24cm,None or a little bit (or only on the Matn),,,3,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/collection-of-khutbas-of-shaykh-abd-ar-razzaq-al-badr-3-volumes.html
66,الدرة الفاخرة في التعليق على منظومة السير إلى الله و الدار الآخرة,الشيخ عبد الرحمن السعدي,38,دار ابن عفان,غلاف,14x20cm,In Majority or Totality,علي بن حسن الحلبي,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/durar-fakhirah-fi-ta-liq-ala-mandhumah-siyar-ila-allah-al-sa-di.html
67,فضل الصلاة على خاتم الأنبياء صلى الله عليه وسلم (من بدائع الفوائد وجلاء الأفهام),الإمام ابن قيم الجوزية,232,دار القلم,مجلد,17x24cm,In Part,صالح الشامي,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/fadl-salat-ala-khatim-al-anbiya-ibn-qayyim-al-jawziyyah.html
68,روابط الأخوة الإسلامية على ضوء الكتاب والسنة بفهم سلف الأمة,د. صادق البيضاني,,دار اللؤلؤة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/fraternal-links-in-islam-according-to-the-koran-sunna-and-salafs.html
